Parameter,Unit,name,carrier,type,tech,var_name
Energy_Cost_System,Eur,energysystem,ALL,none,ALL,total_system_cost
EnergyConversion_Curtailment_Electricity_RE,GWh,electricity-curtailment,electricity,excess,curtailment,flow_in
EnergyConversion_SecondaryEnergy_Electricity_RE,GWh,energysystem,re,none,none,re_generation
EnergyConversion_SecondaryEnergy_Electricity_Slack,GWh,electricity-shortage,electricity,shortage,shortage,flow_out
Transmission_Losses_Electricity_Grid,GWh,electricity-transmission,electricity,link,transmission,loss
Transmission_Flow_Electricity_Grid,GWh,electricity-transmission,electricity,link,transmission,gross_flow
Energy_EmissionCost_CO2,Eur,energysystem,ALL,ALL,ALL,cost_emission
Energy_Emissions_CO2,t,energysystem,ALL,ALL,ALL,emissions
EnergyConversion_Capacity_Electricity_CH4_GT,MW,ch4-gt,ch4,conversion,gt,capacity
EnergyConversion_Capacity_Electricity_Nuclear_ST,MW,uranium-nuclear,uranium,dispatchable,nuclear,capacity
EnergyConversion_FixOM_Electricity_CH4_GT,Eur,ch4-gt,ch4,conversion,gt,cost_fixom
EnergyConversion_FixOM_Electricity_Nuclear_ST,Eur,uranium-nuclear,uranium,dispatchable,nuclear,cost_fixom
EnergyConversion_FuelCosts_Electricity_CH4_GT,Eur,ch4-gt,ch4,conversion,gt,cost_carrier
EnergyConversion_FuelCosts_Electricity_Nuclear_ST,Eur,uranium-nuclear,uranium,dispatchable,nuclear,cost_carrier
EnergyConversion_Invest_Electricity_CH4_GT,Eur,ch4-gt,ch4,conversion,gt,cost_invest
EnergyConversion_Invest_Electricity_Nuclear_ST,Eur,uranium-nuclear,uranium,dispatchable,nuclear,cost_invest
EnergyConversion_SecondaryEnergy_Electricity_CH4_GT,GWh,ch4-gt,ch4,conversion,gt,flow_out
EnergyConversion_SecondaryEnergy_Electricity_Nuclear_ST,GWh,uranium-nuclear,uranium,dispatchable,nuclear,flow_out
EnergyConversion_VarOM_Electricity_CH4_GT,Eur,ch4-gt,ch4,conversion,gt,cost_varom
EnergyConversion_VarOM_Electricity_Nuclear_ST,Eur,uranium-nuclear,uranium,dispatchable,nuclear,cost_varom
Storage_Capacity_Electricity_H2CavernCharge,MW,h2-storage,h2,storage,storage,capacity
Storage_Capacity_Electricity_H2CavernDischarge,MW,h2-storage,h2,storage,storage,capacity
Storage_Capacity_Electricity_H2CavernStorage,MW,h2-storage,h2,storage,storage,storage_capacity
Storage_Capacity_Electricity_LiIonBatteryCharge,MW,electricity-battery,electricity,storage,battery,capacity
Storage_Capacity_Electricity_LiIonBatteryDischarge,MW,electricity-battery,electricity,storage,battery,capacity
Storage_Capacity_Electricity_LiIonBatteryStorage,MW,electricity-battery,electricity,storage,battery,storage_capacity
Storage_FixOM_Electricity_H2CavernStorage,Eur,h2-storage,h2,storage,storage,cost_fixom
Storage_FixOM_Electricity_LiIonBatteryStorage,Eur,electricity-battery,electricity,storage,battery,cost_fixom
Storage_Input_Electricity_H2CavernStorage,GWh,h2-storage,h2,storage,storage,flow_in
Storage_Input_Electricity_LiIonBatteryStorage,GWh,electricity-battery,electricity,storage,battery,flow_in
Storage_Invest_Electricity_H2CavernStorage,Eur,h2-storage,h2,storage,storage,cost_invest
Storage_Invest_Electricity_LiIonBatteryStorage,Eur,electricity-battery,electricity,storage,battery,cost_invest
Storage_Losses_Electricity_H2CavernStorage,GWh,h2-storage,h2,storage,storage,loss
Storage_Losses_Electricity_LiIonBatteryStorage,GWh,electricity-battery,electricity,storage,battery,loss
Storage_Output_Electricity_H2CavernStorage,GWh,h2-storage,h2,storage,storage,flow_out
Storage_Output_Electricity_LiIonBatteryStorage,GWh,electricity-battery,electricity,storage,battery,flow_out
Storage_VarOM_Electricity_H2CavernStorage,Eur,h2-storage,h2,storage,storage,cost_varom
Storage_VarOM_Electricity_LiIonBatteryStorage,Eur,electricity-battery,electricity,storage,battery,cost_varom
EnergyConversion_FuelCosts_ElectricityHeat_CH4_BpCCGT,Eur,ch4-bpchp,ch4,backpressure,bpchp,cost_carrier
EnergyConversion_SecondaryEnergy_Electricity_ElectricityHeat_CH4_BpCCGT,GWh,ch4-bpchp,ch4,backpressure,bpchp,flow_electricity
EnergyConversion_SecondaryEnergy_Heat_ElectricityHeat_CH4_BpCCGT,GWh,ch4-bpchp,ch4,backpressure,bpchp,flow_heat
EnergyConversion_SecondaryEnergy_Heat_Slack,GWh,heat-shortage,heat,shortage,shortage,flow_out
EnergyConversion_VarOM_ElectricityHeat_CH4_BpCCGT,Eur,ch4-bpchp,ch4,backpressure,bpchp,cost_varom
EnergyConversion_FuelCosts_ElectricityHeat_CH4_ExCCGT,Eur,ch4-extchp,ch4,extraction,extchp,cost_carrier
EnergyConversion_SecondaryEnergy_Electricity_ElectricityHeat_CH4_ExCCGT,GWh,ch4-extchp,ch4,extraction,extchp,flow_electricity
EnergyConversion_SecondaryEnergy_Heat_ElectricityHeat_CH4_ExCCGT,GWh,ch4-extchp,ch4,extraction,extchp,flow_heat
EnergyConversion_VarOM_ElectricityHeat_CH4_ExCCGT,Eur,ch4-extchp,ch4,extraction,extchp,cost_varom
EnergyConversion_SecondaryEnergy_Heat_Gas_Small,GWh,ch4-boiler,ch4,dispatchable,boiler,flow_out
EnergyConversion_VarOM_Heat_Gas_Small,Eur,ch4-boiler,ch4,dispatchable,boiler,cost_varom
Storage_VarOM_Heat_SmallStorage,Eur,heat-storage,heat,storage,storage,cost_varom
EnergyConversion_SecondaryEnergy_Heat_Gas_Large,GWh,ch4-boiler,ch4,conversion,boiler,flow_out
EnergyConversion_VarOM_Heat_Gas_Large,Eur,ch4-boiler,ch4,conversion,boiler,cost_varom
EnergyConversion_SecondaryEnergy_Heat_Electricity_Large,GWh,electricity-pth,electricity,conversion,pth,flow_out
EnergyConversion_SecondaryEnergy_Heat_ElectricityHeat_Large,GWh,electricity-heatpump,electricity,conversion,heatpump,flow_out
EnergyConversion_VarOM_Heat_Electricity_Large,Eur,electricity-pth,electricity,conversion,pth,cost_varom
EnergyConversion_VarOM_Heat_ElectricityHeat_Large,Eur,electricity-heatpump,electricity,conversion,heatpump,cost_varom
Storage_Input_Heat_LargeStorage,GWh,heat-storage,heat,storage,storage,flow_in
Storage_Losses_Heat_LargeStorage,GWh,heat-storage,heat,storage,storage,loss
Storage_Output_Heat_LargeStorage,GWh,heat-storage,heat,storage,storage,flow_out
Storage_VarOM_Heat_LargeStorage,Eur,heat-storage,heat,storage,storage,cost_varom
EnergyConversion_SecondaryEnergy_Heat_ElectricityHeat_Small,GWh,electricity-heatpump,electricity,conversion,heatpump,flow_out
EnergyConversion_VarOM_Heat_ElectricityHeat_Small,Eur,electricity-heatpump,electricity,conversion,heatpump,cost_varom
Storage_Input_Heat_SmallStorage,GWh,heat-storage,heat,storage,storage,flow_in
Transport_Shifting_DrivePower_Electricity,GWh,electricity-bev,electricity,?,bev,?
Transport_VarOM_DrivePower_Electricity,Eur,electricity-bev,electricity,?,bev,cost_varom
